
============================================================
Request 1/5
Prompt: Explain the concept of recursion in programming in 3 sentences.
============================================================
Token 1: 'Recursion' | Latency: 284.75ms
Token 169: 'Case' | Latency: 18.84ms
Token 170: ' Performance' | Latency: 18.84ms
Token 171: ':**' | Latency: 21.27ms
Token 172: ' Lookup' | Latency: 18.94ms
Token 173: ',' | Latency: 18.70ms
Token 174: ' insertion' | Latency: 21.30ms
Token 175: ',' | Latency: 18.90ms
Token 176: ' and' | Latency: 18.83ms
Token 177: ' deletion' | Latency: 18.87ms
Token 178: ' operations' | Latency: 18.79ms
Token 179: ' have' | Latency: 20.95ms
Token 180: ' an' | Latency: 18.82ms
Token 181: ' average' | Latency: 18.82ms
Token 182: ' time' | Latency: 18.66ms
Token 183: ' complexity' | Latency: 18.83ms
Token 184: ' of' | Latency: 18.76ms
Token 185: ' O' | Latency: 18.83ms
Token 186: '(' | Latency: 19.11ms
Token 187: '1' | Latency: 18.77ms
Token 188: '),' | Latency: 18.91ms
Token 189: ' making' | Latency: 18.72ms
Token 190: ' them' | Latency: 18.87ms
Token 191: ' incredibly' | Latency: 20.64ms
Token 192: ' efficient' | Latency: 20.72ms
Token 193: ' for' | Latency: 18.62ms
Token 194: ' large' | Latency: 20.67ms
Token 195: ' datasets' | Latency: 21.18ms
Token 196: '.' | Latency: 18.87ms
Token 197: '
' | Latency: 20.60ms
Token 198: '*' | Latency: 18.76ms
Token 199: ' **' | Latency: 18.48ms
Token 200: 'Flexible' | Latency: 18.69ms
Token 201: ' Key' | Latency: 18.72ms
Token 202: ' Types' | Latency: 21.11ms
Token 203: ':**' | Latency: 18.79ms
Token 204: ' Keys' | Latency: 18.56ms
Token 205: ' can' | Latency: 18.41ms
Token 206: ' be' | Latency: 18.60ms
Token 207: ' of' | Latency: 18.47ms
Token 208: ' various' | Latency: 18.68ms
Token 209: ' data' | Latency: 18.62ms
Token 210: ' types' | Latency: 18.62ms
Token 211: ' (' | Latency: 19.61ms
Token 212: 'strings' | Latency: 19.64ms
Token 213: ',' | Latency: 18.59ms
Token 214: ' numbers' | Latency: 18.72ms
Token 215: ',' | Latency: 18.61ms
Token 216: ' objects' | Latency: 18.68ms
Token 217: ')' | Latency: 18.62ms
Token 218: ' as' | Latency: 18.72ms
Token 219: ' long' | Latency: 18.81ms
Token 220: ' as' | Latency: 18.55ms
Token 221: ' a' | Latency: 18.65ms
Token 222: ' suitable' | Latency: 18.51ms
Token 223: ' hash' | Latency: 18.56ms
Token 224: ' function' | Latency: 18.55ms
Token 225: ' is' | Latency: 18.61ms
Token 226: ' defined' | Latency: 18.70ms
Token 227: '.' | Latency: 18.65ms
Token 228: '

' | Latency: 18.70ms
Token 229: '**' | Latency: 18.69ms
Token 230: 'Use' | Latency: 18.67ms
Token 231: ' Cases' | Latency: 20.80ms
Token 232: ':**' | Latency: 18.67ms
Token 233: '


' | Latency: 18.50ms
Token 234: '*' | Latency: 18.57ms
Token 235: ' Databases' | Latency: 18.47ms
Token 236: ':' | Latency: 18.64ms
Token 237: ' Indexing' | Latency: 18.51ms
Token 238: ' records' | Latency: 24.43ms
Token 239: ' for' | Latency: 18.55ms
Token 240: ' fast' | Latency: 18.68ms
Token 241: ' retrieval' | Latency: 18.68ms
Token 242: '.' | Latency: 18.78ms
Token 243: '
' | Latency: 18.76ms
Token 244: '*' | Latency: 18.77ms
Token 245: ' C' | Latency: 19.71ms
Token 246: 'aching' | Latency: 19.35ms
Token 247: ':' | Latency: 20.99ms
Token 248: ' Storing' | Latency: 18.94ms
Token 249: ' frequently' | Latency: 18.54ms
Token 250: ' accessed' | Latency: 20.69ms
Token 251: ' data' | Latency: 19.45ms
Token 252: ' in' | Latency: 20.83ms
Token 253: ' memory' | Latency: 18.74ms
Token 254: ' for' | Latency: 18.83ms
Token 255: ' quick' | Latency: 18.58ms
Token 256: ' access' | Latency: 19.72ms
Token 257: '.' | Latency: 18.54ms
Token 258: '
' | Latency: 18.58ms
Token 259: '*' | Latency: 18.56ms
Token 260: ' Symbol' | Latency: 18.63ms
Token 261: ' tables' | Latency: 20.76ms
Token 262: ' in' | Latency: 18.81ms
Token 263: ' compilers' | Latency: 18.46ms
Token 264: ':' | Latency: 20.92ms
Token 265: ' Mapping' | Latency: 18.68ms
Token 266: ' variable' | Latency: 18.70ms
Token 267: ' names' | Latency: 18.66ms
Token 268: ' to' | Latency: 18.67ms
Token 269: ' their' | Latency: 20.83ms
Token 270: ' memory' | Latency: 18.75ms
Token 271: ' locations' | Latency: 18.66ms
Token 272: '.' | Latency: 18.73ms
Token 273: '
' | Latency: 18.72ms
Token 274: '*' | Latency: 18.92ms
Token 275: ' Password' | Latency: 18.42ms
Token 276: ' storage' | Latency: 20.64ms
Token 277: ':' | Latency: 20.73ms
Token 278: ' Secure' | Latency: 18.64ms
Token 279: 'ly' | Latency: 18.41ms
Token 280: ' storing' | Latency: 18.70ms
Token 281: ' hashed' | Latency: 18.62ms
Token 282: ' passwords' | Latency: 18.70ms
Token 283: ' instead' | Latency: 18.68ms
Token 284: ' of' | Latency: 18.79ms
Token 285: ' plaintext' | Latency: 18.78ms
Token 286: '.' | Latency: 18.75ms
Token 287: '

' | Latency: 18.64ms
Token 288: '**' | Latency: 18.75ms
Token 289: 'Limitations' | Latency: 20.56ms
Token 290: ':**' | Latency: 20.56ms
Token 291: '

' | Latency: 18.70ms
Token 292: '*' | Latency: 18.72ms
Token 293: ' **' | Latency: 18.58ms
Token 294: 'Worst' | Latency: 20.46ms
Token 295: '-' | Latency: 19.38ms
Token 296: 'Case' | Latency: 18.57ms
Token 297: ' Performance' | Latency: 20.42ms
Token 298: ':**' | Latency: 19.37ms
Token 299: ' In' | Latency: 18.46ms
Token 300: ' cases' | Latency: 20.44ms
Token 301: ' of' | Latency: 20.22ms
Token 302: ' many' | Latency: 18.60ms
Token 303: ' collisions' | Latency: 20.37ms
Token 304: ',' | Latency: 19.60ms
Token 305: ' performance' | Latency: 19.53ms
Token 306: ' can' | Latency: 18.68ms
Token 307: ' degrade' | Latency: 18.83ms
Token 308: ' to' | Latency: 18.77ms
Token 309: ' O' | Latency: 18.70ms
Token 310: '(' | Latency: 18.66ms
Token 311: 'n' | Latency: 18.76ms
Token 312: '),' | Latency: 18.78ms
Token 313: ' approaching' | Latency: 18.76ms
Token 314: ' that' | Latency: 19.70ms
Token 315: ' of' | Latency: 19.52ms
Token 316: ' a' | Latency: 19.72ms
Token 317: ' linear' | Latency: 18.43ms
Token 318: ' search' | Latency: 18.76ms
Token 319: '.' | Latency: 18.52ms
Token 320: '
' | Latency: 18.62ms
Token 321: '*' | Latency: 18.60ms
Token 322: ' **' | Latency: 18.69ms
Token 323: 'Not' | Latency: 18.70ms
Token 324: ' Suitable' | Latency: 19.03ms
Token 325: ' for' | Latency: 18.63ms
Token 326: ' Ordered' | Latency: 18.72ms
Token 327: ' Data' | Latency: 20.65ms
Token 328: ':**' | Latency: 20.87ms
Token 329: ' Hash' | Latency: 18.78ms
Token 330: ' tables' | Latency: 18.74ms
Token 331: ' do' | Latency: 20.76ms
Token 332: ' not' | Latency: 18.82ms
Token 333: ' inherently' | Latency: 18.45ms
Token 334: ' maintain' | Latency: 20.60ms
Token 335: ' the' | Latency: 18.65ms
Token 336: ' order' | Latency: 18.52ms
Token 337: ' of' | Latency: 20.71ms
Token 338: ' elements' | Latency: 18.55ms
Token 339: '.' | Latency: 18.56ms
Token 340: '

' | Latency: 18.61ms
Token 341: 'Overall' | Latency: 18.64ms
Token 342: ',' | Latency: 20.76ms
Token 343: ' hash' | Latency: 18.62ms
Token 344: ' tables' | Latency: 20.90ms
Token 345: ' are' | Latency: 18.76ms
Token 346: ' a' | Latency: 18.54ms
Token 347: ' powerful' | Latency: 18.73ms
Token 348: ' tool' | Latency: 18.85ms
Token 349: ' when' | Latency: 18.63ms
Token 350: ' you' | Latency: 18.91ms
Token 351: ' need' | Latency: 18.59ms
Token 352: ' fast' | Latency: 20.63ms
Token 353: ' access' | Latency: 19.50ms
Token 354: ' to' | Latency: 18.63ms
Token 355: ' data' | Latency: 18.31ms
Token 356: ' based' | Latency: 18.64ms
Token 357: ' on' | Latency: 18.58ms
Token 358: ' unique' | Latency: 18.73ms
Token 359: ' keys' | Latency: 18.73ms
Token 360: ',' | Latency: 19.80ms
Token 361: ' sacrificing' | Latency: 18.76ms
Token 362: ' some' | Latency: 19.72ms
Token 363: ' order' | Latency: 20.77ms
Token 364: ' and' | Latency: 20.73ms
Token 365: ' predictability' | Latency: 18.67ms
Token 366: ' for' | Latency: 20.92ms
Token 367: ' efficiency' | Latency: 18.82ms
Token 368: '.' | Latency: 18.62ms

--- Summary ---
Total tokens: 368
TTFT: 261.97ms
TPOT: 19.96ms
ITL Mean: 19.23ms
Throughput: 50.11 tok/s
