
============================================================
Request 1/5
Prompt: Explain the concept of recursion in programming in 3 sentences.
============================================================
Token 1: ' Rec' | Latency: 80.65ms
' | Latency: 6.66ms
Token 322: '6' | Latency: 6.73ms
Token 323: '.' | Latency: 6.69ms
Token 324: ' O' | Latency: 6.70ms
Token 325: '(' | Latency: 6.68ms
Token 326: '2' | Latency: 6.71ms
Token 327: '^' | Latency: 6.67ms
Token 328: 'n' | Latency: 6.71ms
Token 329: '):' | Latency: 6.68ms
Token 330: ' Ex' | Latency: 6.84ms
Token 331: 'ponential' | Latency: 6.59ms
Token 332: ' Time' | Latency: 6.73ms
Token 333: ' Complex' | Latency: 6.76ms
Token 334: 'ity' | Latency: 6.65ms
Token 335: ' -' | Latency: 6.66ms
Token 336: ' The' | Latency: 6.66ms
Token 337: ' running' | Latency: 6.63ms
Token 338: ' time' | Latency: 6.67ms
Token 339: ' dou' | Latency: 6.78ms
Token 340: 'bles' | Latency: 7.24ms
Token 341: ' for' | Latency: 6.67ms
Token 342: ' each' | Latency: 6.81ms
Token 343: ' addition' | Latency: 6.57ms
Token 344: ' to' | Latency: 6.61ms
Token 345: ' the' | Latency: 6.66ms
Token 346: ' input' | Latency: 7.05ms
Token 347: ' data' | Latency: 6.66ms
Token 348: ' set' | Latency: 6.87ms
Token 349: '.' | Latency: 6.84ms
Token 350: ' Examples' | Latency: 6.80ms
Token 351: ' include' | Latency: 6.56ms
Token 352: ' br' | Latency: 6.68ms
Token 353: 'ute' | Latency: 7.47ms
Token 354: ' force' | Latency: 6.92ms
Token 355: ' solutions' | Latency: 6.73ms
Token 356: ' to' | Latency: 6.69ms
Token 357: ' problems' | Latency: 6.81ms
Token 358: ' like' | Latency: 6.87ms
Token 359: ' the' | Latency: 6.56ms
Token 360: ' Travel' | Latency: 6.69ms
Token 361: 'ing' | Latency: 6.77ms
Token 362: ' Sales' | Latency: 7.38ms
Token 363: 'man' | Latency: 6.90ms
Token 364: ' Problem' | Latency: 6.81ms
Token 365: '.' | Latency: 6.77ms
Token 366: '
' | Latency: 7.26ms
Token 367: '7' | Latency: 6.81ms
Token 368: '.' | Latency: 6.80ms
Token 369: ' O' | Latency: 6.64ms
Token 370: '(' | Latency: 6.67ms
Token 371: 'n' | Latency: 6.61ms
Token 372: '!' | Latency: 6.64ms
Token 373: '):' | Latency: 6.64ms
Token 374: ' F' | Latency: 6.71ms
Token 375: 'actor' | Latency: 6.66ms
Token 376: 'ial' | Latency: 6.72ms
Token 377: ' Time' | Latency: 6.67ms
Token 378: ' Complex' | Latency: 6.74ms
Token 379: 'ity' | Latency: 6.64ms
Token 380: ' -' | Latency: 6.75ms
Token 381: ' The' | Latency: 6.67ms
Token 382: ' running' | Latency: 6.71ms
Token 383: ' time' | Latency: 6.67ms
Token 384: ' increases' | Latency: 6.74ms
Token 385: ' factor' | Latency: 6.64ms
Token 386: 'ially' | Latency: 6.68ms
Token 387: ' with' | Latency: 6.58ms
Token 388: ' the' | Latency: 6.71ms
Token 389: ' size' | Latency: 6.54ms
Token 390: ' of' | Latency: 6.65ms
Token 391: ' input' | Latency: 6.59ms
Token 392: '.' | Latency: 6.63ms
Token 393: ' An' | Latency: 6.61ms
Token 394: ' example' | Latency: 6.68ms
Token 395: ' is' | Latency: 6.59ms
Token 396: ' the' | Latency: 6.64ms
Token 397: ' na' | Latency: 6.59ms
Token 398: 'ive' | Latency: 6.67ms
Token 399: ' solution' | Latency: 6.74ms
Token 400: ' for' | Latency: 7.27ms
Token 401: ' finding' | Latency: 6.74ms
Token 402: ' all' | Latency: 6.69ms
Token 403: ' per' | Latency: 6.66ms
Token 404: 'mut' | Latency: 7.17ms
Token 405: 'ations' | Latency: 6.72ms
Token 406: ' of' | Latency: 6.81ms
Token 407: ' a' | Latency: 6.70ms
Token 408: ' list' | Latency: 6.70ms
Token 409: '.' | Latency: 6.60ms
Token 410: '
' | Latency: 6.67ms
Token 411: '
' | Latency: 6.59ms
Token 412: 'Under' | Latency: 6.74ms
Token 413: 'standing' | Latency: 6.62ms
Token 414: ' Big' | Latency: 7.53ms
Token 415: ' O' | Latency: 6.74ms
Token 416: ' notation' | Latency: 6.85ms
Token 417: ' is' | Latency: 6.98ms
Token 418: ' essential' | Latency: 7.03ms
Token 419: ' in' | Latency: 6.75ms
Token 420: ' computer' | Latency: 6.72ms
Token 421: ' science' | Latency: 6.64ms
Token 422: ' and' | Latency: 7.25ms
Token 423: ' algorithm' | Latency: 6.89ms
Token 424: ' design' | Latency: 6.59ms
Token 425: ',' | Latency: 6.60ms
Token 426: ' as' | Latency: 7.24ms
Token 427: ' it' | Latency: 6.69ms
Token 428: ' helps' | Latency: 6.81ms
Token 429: ' to' | Latency: 6.64ms
Token 430: ' compare' | Latency: 6.59ms
Token 431: ' and' | Latency: 6.60ms
Token 432: ' contrast' | Latency: 6.68ms
Token 433: ' the' | Latency: 6.61ms
Token 434: ' efficiency' | Latency: 6.67ms
Token 435: ' of' | Latency: 6.60ms
Token 436: ' different' | Latency: 6.65ms
Token 437: ' algorithms' | Latency: 6.63ms
Token 438: ' when' | Latency: 6.66ms
Token 439: ' solving' | Latency: 6.72ms
Token 440: ' problems' | Latency: 7.22ms
Token 441: '.' | Latency: 6.75ms
Token 442: ' Cho' | Latency: 6.75ms
Token 443: 'osing' | Latency: 6.60ms
Token 444: ' an' | Latency: 6.72ms
Token 445: ' appropriate' | Latency: 6.58ms
Token 446: ' algorithm' | Latency: 6.72ms
Token 447: ' with' | Latency: 6.59ms
Token 448: ' good' | Latency: 6.70ms
Token 449: ' time' | Latency: 6.64ms
Token 450: ' or' | Latency: 6.66ms
Token 451: ' space' | Latency: 6.60ms
Token 452: ' complexity' | Latency: 7.46ms
Token 453: ' can' | Latency: 6.66ms
Token 454: ' significantly' | Latency: 6.77ms
Token 455: ' improve' | Latency: 6.63ms
Token 456: ' performance' | Latency: 7.35ms
Token 457: ' for' | Latency: 6.89ms
Token 458: ' large' | Latency: 6.72ms
Token 459: ' data' | Latency: 6.62ms
Token 460: ' sets' | Latency: 7.43ms
Token 461: '.' | Latency: 6.85ms
Token 462: ' In' | Latency: 6.87ms
Token 463: ' practice' | Latency: 6.63ms
Token 464: ',' | Latency: 7.27ms
Token 465: ' it' | Latency: 6.75ms
Token 466: ''' | Latency: 6.67ms
Token 467: 's' | Latency: 6.56ms
Token 468: ' common' | Latency: 7.35ms
Token 469: ' to' | Latency: 6.74ms
Token 470: ' analyze' | Latency: 6.61ms
Token 471: ' and' | Latency: 6.57ms
Token 472: ' optim' | Latency: 6.63ms
Token 473: 'ize' | Latency: 7.29ms
Token 474: ' algorithms' | Latency: 6.86ms
Token 475: ' to' | Latency: 6.77ms
Token 476: ' achieve' | Latency: 6.71ms
Token 477: ' better' | Latency: 6.56ms
Token 478: ' performance' | Latency: 6.67ms
Token 479: ' by' | Latency: 6.56ms
Token 480: ' reducing' | Latency: 6.68ms
Token 481: ' their' | Latency: 6.62ms
Token 482: ' time' | Latency: 6.74ms
Token 483: ' or' | Latency: 6.62ms
Token 484: ' space' | Latency: 6.67ms
Token 485: ' complexity' | Latency: 7.32ms
Token 486: '.' | Latency: 6.77ms

--- Summary ---
Total tokens: 486
TTFT: 58.93ms
TPOT: 6.84ms
ITL Mean: 6.71ms
Throughput: 146.11 tok/s

============================================================
Request 5/5
Prompt: What is the purpose of a hash table data structure?
============================================================
Token 1: ' A' | Latency: 73.72ms
Token 2: ' hash' | Latency: 8.89ms
Token 3: ' table' | Latency: 6.37ms
Token 4: ' is' | Latency: 7.41ms
Token 5: ' a' | Latency: 6.61ms
Token 6: ' data' | Latency: 6.65ms
Token 7: ' structure' | Latency: 6.69ms
Token 8: ' used' | Latency: 6.34ms
Token 9: ' for' | Latency: 6.98ms
Token 10: ' st' | Latency: 6.67ms
Token 11: 'oring' | Latency: 6.52ms
Token 12: ' and' | Latency: 6.54ms
Token 13: ' retriev' | Latency: 6.51ms
Token 14: 'ing' | Latency: 6.53ms
Token 15: ' data' | Latency: 6.52ms
Token 16: ' based' | Latency: 6.57ms
Token 17: ' on' | Latency: 6.51ms
Token 18: ' their' | Latency: 6.55ms
Token 19: ' keys' | Latency: 6.47ms
Token 20: '.' | Latency: 6.59ms
Token 21: ' The' | Latency: 6.50ms
Token 22: ' primary' | Latency: 6.58ms
Token 23: ' purpose' | Latency: 6.46ms
Token 24: ' of' | Latency: 6.55ms
Token 25: ' a' | Latency: 6.49ms
Token 26: ' hash' | Latency: 6.60ms
Token 27: ' table' | Latency: 6.53ms
Token 28: ' is' | Latency: 6.58ms
Token 29: ' to' | Latency: 6.51ms
Token 30: ' provide' | Latency: 6.62ms
Token 31: ' an' | Latency: 6.54ms
Token 32: ' efficient' | Latency: 6.56ms
Token 33: ' method' | Latency: 6.56ms
Token 34: ' for' | Latency: 6.56ms
Token 35: ' performing' | Latency: 6.57ms
Token 36: ' look' | Latency: 6.60ms
Token 37: 'ups' | Latency: 6.58ms
Token 38: ',' | Latency: 6.58ms
Token 39: ' insert' | Latency: 6.56ms
Token 40: 'ions' | Latency: 6.73ms
Token 41: ',' | Latency: 7.07ms
Token 42: ' and' | Latency: 6.75ms
Token 43: ' delet' | Latency: 6.53ms
Token 44: 'ions' | Latency: 6.59ms
Token 45: ' of' | Latency: 7.30ms
Token 46: ' key' | Latency: 6.77ms
Token 47: '-' | Latency: 6.68ms
Token 48: 'value' | Latency: 6.54ms
Token 49: ' pairs' | Latency: 6.54ms
Token 50: ' in' | Latency: 6.54ms
Token 51: ' constant' | Latency: 6.52ms
Token 52: ' or' | Latency: 6.58ms
Token 53: ' nearly' | Latency: 6.50ms
Token 54: ' constant' | Latency: 6.52ms
Token 55: ' time' | Latency: 6.51ms
Token 56: ' on' | Latency: 6.53ms
Token 57: ' average' | Latency: 6.70ms
Token 58: '.' | Latency: 6.45ms
Token 59: '
' | Latency: 6.47ms
Token 60: '
' | Latency: 6.54ms
Token 61: 'Here' | Latency: 6.51ms
Token 62: ' are' | Latency: 6.61ms
Token 63: ' some' | Latency: 6.53ms
Token 64: ' specific' | Latency: 6.52ms
Token 65: ' benefits' | Latency: 6.43ms
Token 66: ' that' | Latency: 6.57ms
Token 67: ' make' | Latency: 6.60ms
Token 68: ' hash' | Latency: 7.10ms
Token 69: ' tables' | Latency: 6.65ms
Token 70: ' useful' | Latency: 6.66ms
Token 71: ':' | Latency: 6.60ms
Token 72: '
' | Latency: 7.27ms
Token 73: '
' | Latency: 6.68ms
Token 74: '1' | Latency: 6.79ms
Token 75: '.' | Latency: 6.60ms
Token 76: ' Fast' | Latency: 6.61ms
Token 77: ' access' | Latency: 6.56ms
Token 78: ' time' | Latency: 6.63ms
Token 79: ':' | Latency: 6.53ms
Token 80: ' By' | Latency: 6.60ms
Token 81: ' st' | Latency: 6.49ms
Token 82: 'oring' | Latency: 6.61ms
Token 83: ' data' | Latency: 6.50ms
Token 84: ' using' | Latency: 6.58ms
Token 85: ' a' | Latency: 6.50ms
Token 86: ' hash' | Latency: 6.59ms
Token 87: ' function' | Latency: 6.49ms
Token 88: ',' | Latency: 6.58ms
Token 89: ' the' | Latency: 6.53ms
Token 90: ' lookup' | Latency: 6.68ms
Token 91: ' operation' | Latency: 7.22ms
Token 92: ' can' | Latency: 6.71ms
Token 93: ' be' | Latency: 6.63ms
Token 94: ' very' | Latency: 6.73ms
Token 95: ' fast' | Latency: 7.04ms
Token 96: ' because' | Latency: 6.68ms
Token 97: ' it' | Latency: 6.58ms
Token 98: ' reduces' | Latency: 6.65ms
Token 99: ' the' | Latency: 7.00ms
Token 100: ' search' | Latency: 6.72ms
Token 101: ' space' | Latency: 6.56ms
Token 102: ' significantly' | Latency: 6.47ms
Token 103: '.' | Latency: 7.13ms
Token 104: '
' | Latency: 6.72ms
Token 105: '
' | Latency: 6.53ms
Token 106: '2' | Latency: 6.58ms
Token 107: '.' | Latency: 6.51ms
Token 108: ' Eff' | Latency: 6.58ms
Token 109: 'icient' | Latency: 6.53ms
Token 110: ' use' | Latency: 6.56ms
Token 111: ' of' | Latency: 6.51ms
Token 112: ' memory' | Latency: 6.57ms
Token 113: ':' | Latency: 6.71ms
Token 114: ' Hash' | Latency: 6.53ms
Token 115: ' tables' | Latency: 7.12ms
Token 116: ' take' | Latency: 6.79ms
Token 117: ' up' | Latency: 6.49ms
Token 118: ' relatively' | Latency: 6.55ms
Token 119: ' little' | Latency: 7.38ms
Token 120: ' memory' | Latency: 6.63ms
Token 121: ' compared' | Latency: 6.70ms
Token 122: ' to' | Latency: 6.55ms
Token 123: ' other' | Latency: 6.54ms
Token 124: ' data' | Latency: 6.52ms
Token 125: ' structures' | Latency: 6.59ms
Token 126: ' like' | Latency: 6.52ms
Token 127: ' linked' | Latency: 6.57ms
Token 128: ' lists' | Latency: 6.61ms
Token 129: ' or' | Latency: 7.13ms
Token 130: ' trees' | Latency: 6.74ms
Token 131: ',' | Latency: 6.54ms
Token 132: ' making' | Latency: 6.53ms
Token 133: ' them' | Latency: 6.45ms
Token 134: ' efficient' | Latency: 6.56ms
Token 135: ' for' | Latency: 6.55ms
Token 136: ' st' | Latency: 6.79ms
Token 137: 'oring' | Latency: 7.29ms
Token 138: ' large' | Latency: 6.96ms
Token 139: ' amounts' | Latency: 6.84ms
Token 140: ' of' | Latency: 6.79ms
Token 141: ' data' | Latency: 6.67ms
Token 142: '.' | Latency: 6.57ms
Token 143: '
' | Latency: 6.58ms
Token 144: '
' | Latency: 6.59ms
Token 145: '3' | Latency: 6.59ms
Token 146: '.' | Latency: 6.57ms
Token 147: ' F' | Latency: 6.59ms
Token 148: 'lex' | Latency: 6.57ms
Token 149: 'ible' | Latency: 6.62ms
Token 150: ' key' | Latency: 6.54ms
Token 151: ' type' | Latency: 6.60ms
Token 152: ':' | Latency: 6.55ms
Token 153: ' Hash' | Latency: 6.57ms
Token 154: ' tables' | Latency: 6.59ms
Token 155: ' allow' | Latency: 6.49ms
Token 156: ' the' | Latency: 6.58ms
Token 157: ' use' | Latency: 6.59ms
Token 158: ' of' | Latency: 6.61ms
Token 159: ' various' | Latency: 6.63ms
Token 160: ' types' | Latency: 6.58ms
Token 161: ' of' | Latency: 6.66ms
Token 162: ' keys' | Latency: 6.54ms
Token 163: ',' | Latency: 6.62ms
Token 164: ' including' | Latency: 6.59ms
Token 165: ' inte' | Latency: 6.60ms
Token 166: 'gers' | Latency: 6.74ms
Token 167: ',' | Latency: 7.19ms
Token 168: ' strings' | Latency: 6.82ms
Token 169: ',' | Latency: 6.68ms
Token 170: ' and' | Latency: 6.63ms
Token 171: ' complex' | Latency: 7.41ms
Token 172: ' objects' | Latency: 6.59ms
Token 173: ' like' | Latency: 6.67ms
Token 174: ' graphs' | Latency: 6.66ms
Token 175: ' or' | Latency: 7.21ms
Token 176: ' records' | Latency: 6.81ms
Token 177: '.' | Latency: 6.70ms
Token 178: '
' | Latency: 6.56ms
Token 179: '
' | Latency: 6.50ms
Token 180: '4' | Latency: 6.54ms
Token 181: '.' | Latency: 6.50ms
Token 182: ' Scal' | Latency: 6.55ms
Token 183: 'ability' | Latency: 6.47ms
Token 184: ':' | Latency: 6.59ms
Token 185: ' Hash' | Latency: 6.49ms
Token 186: ' tables' | Latency: 6.70ms
Token 187: ' can' | Latency: 7.15ms
Token 188: ' be' | Latency: 6.69ms
Token 189: ' easily' | Latency: 6.67ms
Token 190: ' expanded' | Latency: 6.60ms
Token 191: ' to' | Latency: 7.11ms
Token 192: ' accommodate' | Latency: 6.77ms
Token 193: ' more' | Latency: 6.55ms
Token 194: ' data' | Latency: 6.67ms
Token 195: ' by' | Latency: 7.23ms
Token 196: ' increasing' | Latency: 6.75ms
Token 197: ' their' | Latency: 6.74ms
Token 198: ' size' | Latency: 6.57ms
Token 199: ' or' | Latency: 6.52ms
Token 200: ' number' | Latency: 6.57ms
Token 201: ' of' | Latency: 6.53ms
Token 202: ' buck' | Latency: 6.64ms
Token 203: 'ets' | Latency: 7.04ms
Token 204: ' (' | Latency: 6.70ms
Token 205: 'also' | Latency: 6.48ms
Token 206: ' known' | Latency: 6.64ms
Token 207: ' as' | Latency: 7.10ms
Token 208: ' res' | Latency: 6.68ms
Token 209: 'izing' | Latency: 6.60ms
Token 210: ').' | Latency: 6.54ms
Token 211: ' This' | Latency: 6.56ms
Token 212: ' makes' | Latency: 6.55ms
Token 213: ' them' | Latency: 6.57ms
Token 214: ' suitable' | Latency: 6.62ms
Token 215: ' for' | Latency: 7.06ms
Token 216: ' dynamic' | Latency: 6.76ms
Token 217: ' applications' | Latency: 6.52ms
Token 218: ' that' | Latency: 6.64ms
Token 219: ' require' | Latency: 7.14ms
Token 220: ' frequent' | Latency: 6.69ms
Token 221: ' add' | Latency: 6.58ms
Token 222: 'itions' | Latency: 6.55ms
Token 223: ' and' | Latency: 6.64ms
Token 224: ' rem' | Latency: 6.46ms
Token 225: 'ov' | Latency: 6.53ms
Token 226: 'als' | Latency: 6.55ms
Token 227: ' of' | Latency: 6.59ms
Token 228: ' elements' | Latency: 6.52ms
Token 229: '.' | Latency: 6.62ms
Token 230: '
' | Latency: 6.56ms
Token 231: '
' | Latency: 6.61ms
Token 232: '5' | Latency: 6.58ms
Token 233: '.' | Latency: 6.62ms
Token 234: ' Coll' | Latency: 6.60ms
Token 235: 'ision' | Latency: 6.60ms
Token 236: ' handling' | Latency: 6.59ms
Token 237: ':' | Latency: 6.60ms
Token 238: ' To' | Latency: 6.85ms
Token 239: ' overcome' | Latency: 6.62ms
Token 240: ' the' | Latency: 6.60ms
Token 241: ' issue' | Latency: 6.59ms
Token 242: ' of' | Latency: 6.60ms
Token 243: ' coll' | Latency: 9.62ms
Token 244: 'isions' | Latency: 6.62ms
Token 245: ' when' | Latency: 6.70ms
Token 246: ' two' | Latency: 6.73ms
Token 247: ' keys' | Latency: 6.57ms
Token 248: ' hash' | Latency: 6.62ms
Token 249: ' to' | Latency: 6.61ms
Token 250: ' the' | Latency: 6.61ms
Token 251: ' same' | Latency: 6.60ms
Token 252: ' index' | Latency: 6.61ms
Token 253: ',' | Latency: 6.65ms
Token 254: ' there' | Latency: 6.56ms
Token 255: ' are' | Latency: 6.63ms
Token 256: ' various' | Latency: 6.60ms
Token 257: ' collision' | Latency: 6.72ms
Token 258: ' resolution' | Latency: 7.70ms
Token 259: ' techniques' | Latency: 6.87ms
Token 260: ' such' | Latency: 6.86ms
Token 261: ' as' | Latency: 6.76ms
Token 262: ' ch' | Latency: 6.72ms
Token 263: 'aining' | Latency: 6.60ms
Token 264: ' or' | Latency: 7.34ms
Token 265: ' open' | Latency: 6.76ms
Token 266: ' addressing' | Latency: 6.74ms
Token 267: ',' | Latency: 6.59ms
Token 268: ' which' | Latency: 6.71ms
Token 269: ' help' | Latency: 6.68ms
Token 270: ' maintain' | Latency: 6.65ms
Token 271: ' the' | Latency: 6.61ms
Token 272: ' efficiency' | Latency: 6.61ms
Token 273: ' of' | Latency: 6.60ms
Token 274: ' the' | Latency: 6.65ms
Token 275: ' data' | Latency: 6.60ms
Token 276: ' structure' | Latency: 6.66ms
Token 277: '.' | Latency: 6.68ms

--- Summary ---
Total tokens: 277
TTFT: 73.72ms
TPOT: 6.96ms
ITL Mean: 6.68ms
Throughput: 143.73 tok/s
